,NFT Name,DNA in %,Price,Listing Date
0,Ghostchain09754,0.03,420,2023-03-08
1,Ghostchain09316,0.02,420,2023-03-08
2,Ghostchain09729,0.95,420,2023-03-08
3,Ghostchain04312,0.72,400,2023-03-06
4,Ghostchain09680,0.21,400,2023-03-06
5,Ghostchain05979,1.29,450,2023-03-05
6,Ghostchain03825,0.79,550,2023-03-05
7,Ghostchain03639,1.26,425,2023-03-05
8,Ghostchain02816,0.24,420,2023-03-05
9,Ghostchain07987,0.79,420,2023-03-05
10,Ghostchain00647,0.18,420,2023-03-05
11,Ghostchain03322,0.7,435,2023-03-05
12,Ghostchain06461,0.03,420,2023-03-04
13,Ghostchain03893,1.2,550,2023-03-04
14,Ghostchain05152,0.65,529,2023-03-04
15,Ghostchain04712,0.06,500,2023-03-03
16,Ghostchain00895,0.65,600,2023-03-02
17,Ghostchain09802,0.21,475,2023-03-02
18,Ghostchain07922,0.95,460,2023-03-02
19,Ghostchain02211,0.03,750,2023-03-01
20,Ghostchain01427,0.91,540,2023-03-01
21,Ghostchain03291,0.14,540,2023-03-01
22,Ghostchain03451,0.81,760,2023-03-01
23,Ghostchain06672,0.69,525,2023-03-01
24,Ghostchain03958,0.71,675,2023-03-01
25,Ghostchain00272,0.75,1699,2023-02-27
26,Ghostchain07964,0.08,700,2023-02-27
27,Ghostchain09090,0.79,540,2023-02-27
28,Ghostchain02441,0.02,1300,2023-02-27
29,Ghostchain02030,0.08,550,2023-02-27
30,Ghostchain03040,1.31,699,2023-02-26
31,Ghostchain01712,0.12,700,2023-02-26
32,Ghostchain00503,0.03,750,2023-02-26
33,Ghostchain00388,0.01,1850,2023-02-25
34,Ghostchain02413,0.15,666,2023-02-24
35,Ghostchain07283,0.81,650,2023-02-24
36,Ghostchain06210,0.7,599,2023-02-24
37,Ghostchain00492,1.47,699,2023-02-24
38,Ghostchain09680,0.04,569,2023-02-24
39,Ghostchain02106,0.04,550,2023-02-24
40,Ghostchain04212,1.29,690,2023-02-23
41,Ghostchain04454,1.31,800,2023-02-23
42,Ghostchain03485,0.15,600,2023-02-23
43,Ghostchain02081,0.77,600,2023-02-23
44,Ghostchain08255,0.23,600,2023-02-23
45,Ghostchain06647,0.15,585,2023-02-23
46,Ghostchain05623,0.91,585,2023-02-23
47,Ghostchain01650,0.21,559,2023-02-23
48,Ghostchain08911,0.07,559,2023-02-23
49,Ghostchain05978,0.02,550,2023-02-23
50,Ghostchain08664,0.03,1029,2023-02-23
51,Ghostchain05483,0.04,700,2023-02-23
52,Ghostchain07848,0.18,560,2023-02-22
53,Ghostchain01752,0.68,620,2023-02-22
54,Ghostchain07987,0.19,550,2023-02-21
55,Ghostchain08474,1.11,505,2023-02-21
56,Ghostchain03206,1.11,550,2023-02-21
57,Ghostchain07769,1.19,550,2023-02-21
58,Ghostchain01875,0.19,600,2023-02-21
59,Ghostchain01789,1.14,899,2023-02-20
60,Ghostchain08311,0.72,985,2023-02-20
61,Ghostchain00539,0.01,749,2023-02-20
62,Ghostchain01791,0.23,598,2023-02-20
63,Ghostchain01999,0.11,600,2023-02-20
64,Ghostchain04837,0.74,499,2023-02-20
65,Ghostchain00647,1.2,699,2023-02-20
66,Ghostchain06755,1.27,599,2023-02-19
67,Ghostchain03808,1.22,599,2023-02-19
68,Ghostchain02554,1.35,599,2023-02-19
69,Ghostchain00601,0.13,650,2023-02-19
70,Ghostchain00236,0.74,787,2023-02-19
71,Ghostchain02816,1.11,590,2023-02-19
72,Ghostchain01459,0.15,644,2023-02-19
73,Ghostchain05095,0.02,729,2023-02-19
74,Ghostchain00327,0.81,649,2023-02-19
75,Ghostchain01929,0.01,549,2023-02-19
76,Ghostchain01603,0.77,548,2023-02-19
77,Ghostchain08479,0.21,540,2023-02-19
78,Ghostchain07308,1.21,549,2023-02-19
79,Ghostchain03322,0.04,499,2023-02-19
80,Ghostchain01752,0.79,500,2023-02-19
81,Ghostchain02328,0.71,890,2023-02-19
82,Ghostchain07272,1.13,646,2023-02-18
83,Ghostchain02260,0.06,825,2023-02-18
84,Ghostchain08474,0.16,650,2023-02-18
85,Ghostchain07922,0.33,699,2023-02-18
86,Ghostchain07815,0.13,700,2023-02-18
87,Ghostchain00481,0.81,999,2023-02-18
88,Ghostchain00445,0.05,950,2023-02-18
89,Ghostchain00018,0.14,950,2023-02-18
90,Ghostchain03997,0.28,750,2023-02-18
91,Ghostchain04668,0.23,749,2023-02-18
92,Ghostchain07280,0.12,750,2023-02-18
93,Ghostchain03470,0.04,795,2023-02-18
94,Ghostchain08479,1.29,755,2023-02-18
95,Ghostchain08362,0.9,745,2023-02-18
96,Ghostchain04843,0.76,740,2023-02-18
97,Ghostchain01864,0.79,747,2023-02-18
